"","X","club_name","city","wikipedia_url","location","gruendung","plaetze","mitglieder","plaetze_clean","mitglieder_clean","gruendung_clean","gruendung_day","gruendung_month","gruendung_year","gruendung_date_str","gruendung_date","club_age","WKR_NR","LAND_NR","LAND_NAME","WKR_NAME","wahlkreis_name","valid_votes","vote_cdu_2017","vote_csu_2017","vote_spd_2017","vote_linke_2017","vote_afd_2017","perc_cdu_2017","perc_spd_2017","perc_linke_2017","perc_afd_2017","OBJID","BEGINN","GF","NUTS_LEVEL","NUTS_CODE","NUTS_NAME","unemployment_rate","gdp_per_capita","geometry"
"1",1,"1. FC Heidenheim","Heidenheim","https://de.wikipedia.org/wiki/1.%20FC%20Heidenheim","1. FC Heidenheim , Heidenheim","1. Januar 2007(Abspaltung vom Heidenheimer SB)","15.000[3]","12.600 (Stand: 1. Juli 2025)[2]",15000,12600,"1. Januar 2007","1","01","2007","2007-01-1",2007-01-01,11,270,"08","Baden-Württemberg","Aalen – Heidenheim","Aalen  Heidenheim",127561,47945,0,24230,7315,16499,37.585939276111,18.9948338442,5.7345113318334,12.9342040278769,"DEBKGNU5000000B6",2021-10-04,9,2,"DE11","Stuttgart",3.525,51800,c(583842.120879357, 5391291.66728929)
"2",2,"1. FC Kaiserslautern","Kaiserslautern","https://de.wikipedia.org/wiki/1.%20FC%20Kaiserslautern","1. FC Kaiserslautern , Kaiserslautern","2. Juni 1900 (lt. Satzung)[2][A 1]bzw.1. März 1909 (lt. Satzung)[2][A 2]19. Juni 1946 (Wiedergründung)","49.327[4]","37.200 (Stand: 14. Juni 2025)[3]",49327,37200,"2. Juni 1900","2","06","1900","1900-06-2",1900-06-02,118,209,"07","Rheinland-Pfalz","Kaiserslautern","Kaiserslautern",115371,31672,0,33024,9838,17410,27.4523060387792,28.624177652963,8.52727288486708,15.0904473394527,"DEBKGNU5000000C0",2021-10-04,9,2,"DEB3","Rheinhessen-Pfalz",4.375,36900,c(405026.39127396, 5477106.3038482)
"3",3,"1. FC Köln","Köln","https://de.wikipedia.org/wiki/1.%20FC%20K%C3%B6ln","1. FC Köln , Köln","13. Februar 1948","50.000[2]","150.000 (Stand: 2. Mai 2025)[1]",50000,150000,"13. Februar 1948","13","02","1948","1948-02-13",1948-02-13,70,94,"05","Nordrhein-Westfalen","Köln II","Köln II",110238,27942,0,22473,13526,6212,25.3469765416644,20.3858923420236,12.2698162158239,5.63508046227254,"DEBKGNU5000000BU",2021-10-04,9,2,"DEA2","Köln",4.425,41700,c(352702.609845301, 5641625.3081232)
"4",4,"1. FC Lokomotive Leipzig","Leipzig","https://de.wikipedia.org/wiki/1.%20FC%20Lokomotive%20Leipzig","1. FC Lokomotive Leipzig , Leipzig","11. November 1893","15.600 (zurzeit auf 13.721 begrenzt)","3119 (1. März 2024)[1]",15600,3119,"11. November 1893","11","11","1893","1893-11-11",1893-11-11,125,153,"14","Sachsen","Leipzig II","Leipzig II",126343,26795,0,16328,28567,22375,21.2081397465629,12.9235493854032,22.6106709512992,17.7097266963742,"DEBKGNU5000000C4",2021-10-04,9,2,"DED5","Leipzig",5.45,32000,c(735035.763937579, 5693113.44062838)
"5",5,"1. FC Magdeburg","Magdeburg","https://de.wikipedia.org/wiki/1.%20FC%20Magdeburg","1. FC Magdeburg , Magdeburg","22. Dezember 1965","30.098","15.225 (Stand: 11. Juni 2025)[2]",30098,15225,"22. Dezember 1965","22","12","1965","1965-12-22",1965-12-22,53,69,"15","Sachsen-Anhalt","Magdeburg","Magdeburg",124865,33628,0,21413,23172,22383,26.9314860048853,17.1489208345013,18.5576422536339,17.9257598206063,"DEBKGNU5000000C5",2021-10-04,9,2,"DEE0","Sachsen-Anhalt",9.1,27300,c(680345.79712414, 5778679.83680004)
"6",6,"1. FC Nürnberg","Nürnberg","https://de.wikipedia.org/wiki/1.%20FC%20N%C3%BCrnberg","1. FC Nürnberg , Nürnberg","4. Mai 1900","50.000[3]","37.167 (Stand: 21. Juli 2025)[2]",50000,37167,"4. Mai 1900","4","05","1900","1900-05-4",1900-05-04,118,244,"09","Bayern","Nürnberg-Nord","Nürnberg-Nord",92300,23910,23910,17594,11748,10101,25.9046587215601,19.0617551462622,12.7280606717226,10.943661971831,"DEBKGNU5000000BE",2021-10-04,9,2,"DE25","Mittelfranken",2.8,44100,c(654411.007022087, 5478059.83111751)
"7",7,"1. FC Saarbrücken","Saarbrücken","https://de.wikipedia.org/wiki/1.%20FC%20Saarbr%C3%BCcken","1. FC Saarbrücken , Saarbrücken","18. April 1903","16.003","12.000 (Stand: 27. November 2024)[1]",16003,12000,"18. April 1903","18","04","1903","1903-04-18",1903-04-18,115,296,"10","Saarland","Saarbrücken","Saarbrücken",104075,27190,0,27534,16791,10963,26.1253903435023,26.4559212106654,16.133557530627,10.5337496997358,"DEBKGNU5000000C1",2021-10-04,9,2,"DEC0","Saarland",6.5,35500,c(352937.975641104, 5455153.72449502)
"8",8,"1. FC Schweinfurt 05","Schweinfurt","https://de.wikipedia.org/wiki/1.%20FC%20Schweinfurt%2005","1. FC Schweinfurt 05 , Schweinfurt","5. Mai 1905","15.060[3]","1550 (April 2019)[1]",15060,1550,"5. Mai 1905","5","05","1905","1905-05-5",1905-05-05,113,250,"09","Bayern","Schweinfurt","Schweinfurt",101823,40151,40151,17555,7494,13616,39.4321518713847,17.2407020024945,7.35983029374503,13.3722243500977,"DEBKGNU5000000BF",2021-10-04,9,2,"DE26","Unterfranken",2.05,40100,c(587488.3691234, 5545111.57144422)
"9",9,"1. FC Union Berlin","Berlin","https://de.wikipedia.org/wiki/1.%20FC%20Union%20Berlin","1. FC Union Berlin , Berlin","20. Januar 1966","22.012","70.111 (Stand: 30. Juni 2025)[1]",22012,70111,"20. Januar 1966","20","01","1966","1966-01-20",1966-01-20,52,84,"11","Berlin","Berlin-Treptow-Köpenick","Berlin-Treptow-Köpenick",107834,20861,0,16461,26554,20286,19.3454754530111,15.2651297364468,24.6248863994658,18.8122484559601,"DEBKGNU5000000BH",2021-10-04,9,2,"DE30","Berlin",9.45,39300,c(810149.789160093, 5821623.6604571)
"10",10,"1. FSV Mainz 05","Mainz","https://de.wikipedia.org/wiki/1.%20FSV%20Mainz%2005","1. FSV Mainz 05 , Mainz","16. März 1905","33.305","27.000 (Stand: 1. Juli 2025)[1]",33305,27000,"16. März 1905","16","03","1905","1905-03-16",1905-03-16,113,205,"07","Rheinland-Pfalz","Mainz","Mainz",124242,37527,0,28090,11600,11418,30.204761674796,22.6091015920542,9.33661724698572,9.1901289419037,"DEBKGNU5000000C0",2021-10-04,9,2,"DEB3","Rheinhessen-Pfalz",4.375,36900,c(445932.952342743, 5539000.1597035)
"11",11,"Alemannia Aachen","Aachen","https://de.wikipedia.org/wiki/Alemannia%20Aachen","Alemannia Aachen , Aachen","16. Dezember 1900","31.791","10.760 (Stand: 6. März 2025)[1]",31791,10760,"16. Dezember 1900","16","12","1900","1900-12-16",1900-12-16,118,87,"05","Nordrhein-Westfalen","Aachen I","Aachen I",87797,22216,0,23280,10033,6168,25.3038258710434,26.515712381972,11.4274975226944,7.02529699192455,"DEBKGNU5000000BU",2021-10-04,9,2,"DEA2","Köln",4.425,41700,c(292918.728810785, 5628853.87651468)
"12",12,"Altona 93","Hamburg","https://de.wikipedia.org/wiki/Altona%2093","Altona 93 , Hamburg","29. Juni 1893","8.000","2.000 (Stand: 2024)[1]",8000,2000,"29. Juni 1893","29","06","1893","1893-06-29",1893-06-29,125,19,"02","Hamburg","Hamburg-Altona","Hamburg-Altona",88975,19742,0,18973,15504,5488,22.1882551278449,21.3239674065749,17.4251194155662,6.16802472604664,"DEBKGNU5000000BK",2021-10-04,9,2,"DE60","Hamburg",5.475,64000,c(551479.382576394, 5937794.50134689)
"13",13,"BFC Dynamo","Berlin","https://de.wikipedia.org/wiki/BFC%20Dynamo","BFC Dynamo , Berlin","15. Januar 1966","4.500[2]","2148 (Stand: 30. Juni 2022)[1]",4500,2148,"15. Januar 1966","15","01","1966","1966-01-15",1966-01-15,52,86,"11","Berlin","Berlin-Lichtenberg","Berlin-Lichtenberg",104205,18439,0,15556,29855,19314,17.694928266398,14.9282663979655,28.6502567055324,18.5346192601123,"DEBKGNU5000000BH",2021-10-04,9,2,"DE30","Berlin",9.45,39300,c(803682.52211346, 5830546.71327376)
"14",14,"BSG Chemie Leipzig","Leipzig","https://de.wikipedia.org/wiki/BSG%20Chemie%20Leipzig%20(1997)","BSG Chemie Leipzig , Leipzig","16. Juli 1997","4999","2500 (Stand: 09. April 2025)[1]",4999,2500,"16. Juli 1997","16","07","1997","1997-07-16",1997-07-16,21,153,"14","Sachsen","Leipzig II","Leipzig II",126343,26795,0,16328,28567,22375,21.2081397465629,12.9235493854032,22.6106709512992,17.7097266963742,"DEBKGNU5000000C4",2021-10-04,9,2,"DED5","Leipzig",5.45,32000,c(735035.763937579, 5693113.44062838)
"15",15,"BV 09 Borussia Dortmund","Dortmund","https://de.wikipedia.org/wiki/Borussia%20Dortmund","BV 09 Borussia Dortmund , Dortmund","19. Dezember 1909","81.365","230.000(Stand: 1. Juli 2025)[1]",81365,230000,"19. Dezember 1909","19","12","1909","1909-12-19",1909-12-19,109,142,"05","Nordrhein-Westfalen","Dortmund I","Dortmund I",104734,23405,0,31912,11324,11522,22.3470888154754,30.4695705310596,10.8121526915806,11.0012030477209,"DEBKGNU5000000BX",2021-10-04,9,2,"DEA5","Arnsberg",5.675,33900,c(386805.068515165, 5705699.80861658)
"16",16,"Bayer 04 Leverkusen","Leverkusen","https://de.wikipedia.org/wiki/Bayer%2004%20Leverkusen","Bayer 04 Leverkusen , Leverkusen","1. Juli 1904(als Turn- und Spielverein der Farbenfabriken vorm. Friedrich Bayer & Co. in Leverkusen)[1]1. April 1999(als Bayer 04 Leverkusen Fußball GmbH)","30.210",NA,30210,NA,"1. Juli 1904","1","07","1904","1904-07-1",1904-07-01,114,101,"05","Nordrhein-Westfalen","Leverkusen – Köln IV","Leverkusen  Köln IV",103847,27161,0,28703,10379,11326,26.1548239236569,27.6397007135497,9.99451115583503,10.906429651314,"DEBKGNU5000000BU",2021-10-04,9,2,"DEA2","Köln",4.425,41700,c(359844.871067743, 5655995.81171258)
"17",17,"Bonner SC","Bonn","https://de.wikipedia.org/wiki/Bonner%20SC","Bonner SC , Bonn","18. Juni 1965","10.164","700 (Stand: 2017)",10164,700,"18. Juni 1965","18","06","1965","1965-06-18",1965-06-18,53,96,"05","Nordrhein-Westfalen","Bonn","Bonn",116157,31979,0,24430,12140,9565,27.5308418778033,21.0318792668543,10.4513718501683,8.23454462494727,"DEBKGNU5000000BU",2021-10-04,9,2,"DEA2","Köln",4.425,41700,c(362535.890738599, 5621570.64980876)
"18",18,"Chemnitzer FC","Chemnitz","https://de.wikipedia.org/wiki/Chemnitzer%20FC","Chemnitzer FC , Chemnitz","15. Januar 1966","15.000","2.529 (Stand: 31. Dezember 2023)[1]",15000,2529,"15. Januar 1966","15","01","1966","1966-01-15",1966-01-15,52,162,"14","Sachsen","Chemnitz","Chemnitz",109354,26014,0,12627,20433,28851,23.7887960202645,11.5469027196079,18.6851875560108,26.383122702416,"DEBKGNU5000000C3",2021-10-04,9,2,"DED4","Chemnitz",7.7,27800,c(771102.411570132, 5641604.87607402)
"19",19,"DSC Arminia Bielefeld","Bielefeld","https://de.wikipedia.org/wiki/Arminia%20Bielefeld","DSC Arminia Bielefeld , Bielefeld","3. Mai 1905(als 1. Bielefelder FC „Arminia“)","27.332[3]","27.000 (Stand: 8. Juli 2025)[1]",27332,27000,"3. Mai 1905","3","05","1905","1905-05-3",1905-05-03,113,132,"05","Nordrhein-Westfalen","Bielefeld – Gütersloh II","Bielefeld  Gütersloh II",129884,33667,0,33710,15258,13168,25.9208216562471,25.9539281204767,11.7474053771057,10.1382772319916,"DEBKGNU5000000BW",2021-10-04,9,2,"DEA4","Detmold",5.53333333333333,37000,c(467917.395059275, 5763691.60280295)
"20",20,"Eintracht Braunschweig","Braunschweig","https://de.wikipedia.org/wiki/Eintracht%20Braunschweig","Eintracht Braunschweig , Braunschweig","15. Dezember 1895","23.325","7557 (Stand:16. Juli 2025)[1]",23325,7557,"15. Dezember 1895","15","12","1895","1895-12-15",1895-12-15,123,50,"03","Niedersachsen","Braunschweig","Braunschweig",102902,28079,0,27970,10258,9523,27.2871275582593,27.1812015315543,9.96870809119356,9.25443625974228,"DEBKGNU5000000BP",2021-10-04,9,2,"DE91","Braunschweig",5.775,46500,c(603770.064133972, 5794395.01970313)
"21",21,"Eintracht Frankfurt","Frankfurt","https://de.wikipedia.org/wiki/Eintracht%20Frankfurt","Eintracht Frankfurt , Frankfurt","8. März 1899","58.000","155.000 (Stand: 1. Juli 2025)[3]",58000,155000,"8. März 1899","8","03","1899","1899-03-8",1899-03-08,119,182,"06","Hessen","Frankfurt am Main I","Frankfurt am Main I",101383,24628,0,22536,13098,10360,24.2920410719746,22.2285787558072,12.9193257252202,10.2186757148634,"DEBKGNU5000000BL",2021-10-04,9,2,"DE71","Darmstadt",4.45,50700,c(469556.681573627, 5550412.52091402)
"22",22,"FC Augsburg","Augsburg","https://de.wikipedia.org/wiki/FC%20Augsburg","FC Augsburg , Augsburg","8. August 1907","30.660","28.017 (Stand: 4. Juli 2025)[1]",30660,28017,"8. August 1907","8","08","1907","1907-08-8",1907-08-08,111,252,"09","Bayern","Augsburg-Stadt","Augsburg-Stadt",107892,33009,33009,17794,10206,16409,30.5944833722611,16.4924183442702,9.45945945945946,15.2087272457643,"DEBKGNU5000000BG",2021-10-04,9,2,"DE27","Schwaben",3.66666666666667,39000,c(643330.518444714, 5357259.53126355)
"23",23,"FC Bayern München","München","https://de.wikipedia.org/wiki/FC%20Bayern%20M%C3%BCnchen","FC Bayern München , München","27. Februar 1900","75.000[3]","400.000 (Stand: Februar 2025)[2]",75000,4e+05,"27. Februar 1900","27","02","1900","1900-02-27",1900-02-27,118,217,"09","Bayern","München-Nord","München-Nord",99118,26428,26428,17780,9156,9874,26.6631691519199,17.938215056801,9.23747452531326,9.96186363728082,"DEBKGNU5000000BA",2021-10-04,9,2,"DE21","Oberbayern",2.8,57900,c(692560.210335019, 5343244.48300326)
"24",24,"FC Carl Zeiss Jena","Jena","https://de.wikipedia.org/wiki/FC%20Carl%20Zeiss%20Jena","FC Carl Zeiss Jena , Jena","13. Mai 1903(Neugründung: 20. Januar 1966)","15.100","5.615 (Stand: 14. Dezember 2024)[1]",15100,5615,"13. Mai 1903","13","05","1903","1903-05-13",1903-05-13,115,191,"16","Thüringen","Jena – Sömmerda – Weimarer Land I","Jena  Sömmerda  Weimarer Land I",120981,32685,0,15089,21879,25823,27.0166389763682,12.4722063795141,18.0846579214918,21.3446739570676,"DEBKGNU5000000C7",2021-10-04,9,2,"DEG0","Thüringen",6.725,28400,c(681276.159262761, 5644996.17787221)
"25",25,"FC Energie Cottbus","Cottbus","https://de.wikipedia.org/wiki/Energie%20Cottbus","FC Energie Cottbus , Cottbus","31. Januar 1966","22.528","5.056 (Stand: 17. Mai 2025)[1]",22528,5056,"31. Januar 1966","31","01","1966","1966-01-31",1966-01-31,52,64,"12","Brandenburg","Cottbus – Spree-Neiße","Cottbus  Spree-Neiße",100759,23464,0,15200,16360,28802,23.2872497742137,15.0855010470529,16.2367629690648,28.5850395498169,"DEBKGNU5000000BI",2021-10-04,9,2,"DE40","Brandenburg",6.15,28300,c(868826.977711115, 5747077.5680384)
"26",26,"FC Erzgebirge Aue","Aue","https://de.wikipedia.org/wiki/FC%20Erzgebirge%20Aue","FC Erzgebirge Aue , Aue","4. März 1946","15.500","9428 (Stand: 28. März 2025)[1]",15500,9428,"4. März 1946","4","03","1946","1946-03-4",1946-03-04,72,164,"14","Sachsen","Erzgebirgskreis I","Erzgebirgskreis I",135670,41040,0,12822,18660,41325,30.2498710105403,9.45087344291295,13.7539618191199,30.4599395592246,"DEBKGNU5000000C3",2021-10-04,9,2,"DED4","Chemnitz",7.7,27800,c(762445.862611664, 5611681.20309411)
