"","Karlsruher SC","Eintracht Frankfurt","Hamburger SV","Hertha BSC","SC Freiburg","FC St. Pauli","FC Bayern München","VfL Borussia Mönchengladbach","SpVgg Greuther Fürth","DSC Arminia Bielefeld","Werder Bremen","RasenBallsport Leipzig","Hannover 96","MSV Duisburg","VfB Stuttgart","SC Preußen Münster","Fortuna 95 Düsseldorf","FC Schalke 04","TSV 1860 München","1. FC Kaiserslautern","1. FC Köln","1. FC Union Berlin","FC Hansa Rostock","Eintracht Braunschweig","BSG Chemie Leipzig","SV Waldhof Mannheim","BV 09 Borussia Dortmund","1. FC Magdeburg","SV Darmstadt 98","FC Carl Zeiss Jena","VfL Bochum","SG Dynamo Dresden","Rot-Weiß Oberhausen","1. FC Nürnberg","Hallescher FC","Rot-Weiss Essen","1. FSV Mainz 05","FC Erzgebirge Aue","Wuppertaler SV","TSG 1899 Hoffenheim","KSV Hessen Kassel","FC Energie Cottbus","VfB Oldenburg","1. FC Heidenheim","Kickers Offenbach","Fortuna Köln","SC Paderborn 07","FC Augsburg","1. FC Lokomotive Leipzig","Alemannia Aachen","FC Rot-Weiß Erfurt","Bayer 04 Leverkusen","VfR Aalen","VfL Osnabrück","VfL Wolfsburg","1. FC Saarbrücken","Stuttgarter Kickers","Holstein Kiel","Chemnitzer FC","BFC Dynamo","SV Meppen","FSV Zwickau","Werder Bremen II","SV Wehen 1926 Wiesbaden","SV Babelsberg 03","Würzburger Kickers","SSV Jahn 2000 Regensburg","SpVgg Unterhaching","VfB Lübeck","Bonner SC","FC Viktoria Köln","SV 1916 Sandhausen","Altona 93","FC Ingolstadt 04","FSV Frankfurt","KFC Uerdingen 05","Sportfreunde Lotte","1. FC Schweinfurt 05","SG Sonnenhof Großaspach"
"Karlsruher SC",0,20,17,0,0,0,10,3,0,0,0,4,0,0,671,0,0,1,0,182,0,0,0,0,0,95,1,0,0,0,0,2,0,0,0,0,1,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"Eintracht Frankfurt",45,0,13,7,1,1,309,2,0,0,3,22,5,0,25,0,5,26,0,295,39,0,18,1,0,5,15,2,116,0,0,6,0,31,2,0,227,0,0,18,2,0,0,0,1356,1,0,3,2,0,0,4,0,0,8,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0
"Hamburger SV",0,3,0,8,2,410,256,1,0,0,1303,15,16,0,3,0,0,24,0,0,13,0,5,4,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,25,0,0,26,0,1,5,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Hertha BSC",2,18,33,0,1,5,67,7,0,0,1,11,4,1,26,0,37,485,2,0,2,170,30,0,0,0,5,0,0,0,0,4,0,2,0,0,2,2,0,2,0,30,0,0,0,0,0,1,0,0,0,2,0,0,11,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC Freiburg",113,7,27,4,0,1,85,1,0,0,1,21,4,0,788,0,0,8,0,5,3,1,3,0,0,0,9,0,0,0,0,2,0,25,0,0,5,0,0,58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FC St. Pauli",0,0,600,2,0,0,28,0,0,6,2,7,12,0,0,0,1,0,0,2,2,6,654,6,0,1,2,1,0,0,1,90,0,1,1,1,0,4,0,2,0,5,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,29,5,2,0,0,0,0,0,0,0,0,30,0,0,1,2,0,0,0,0,1,0
"FC Bayern München",0,22,110,5,7,5,0,35,2,0,75,75,2,0,37,2,4,173,858,42,8,0,0,2,1,0,1591,0,0,1,4,2,0,144,0,0,0,1,0,6,0,2,0,1,0,0,1,7,1,0,0,17,0,1,10,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1
"VfL Borussia Mönchengladbach",1,8,8,3,1,0,262,0,0,0,0,17,0,1,2,0,45,65,0,1,1088,0,1,0,0,0,79,0,0,0,0,1,0,1,0,0,1,0,0,5,0,0,0,0,0,3,0,0,0,10,0,58,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"SpVgg Greuther Fürth",0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,1,1,0,0,0,0,0,1,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"DSC Arminia Bielefeld",0,0,2,0,0,0,9,0,0,0,1,3,3,1,0,330,1,16,1,1,1,0,0,2,0,0,5,0,1,0,98,9,0,0,0,7,2,0,0,1,0,0,0,0,0,1,51,0,0,0,0,1,0,44,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
