club_name,city,log_market_value,liga_numeric,club_age,stadium_capacity,members,WKR_NAME,gdp,unemployment_rate,region,perc_afd_2017,east_west_binary,log_members,love_out_hhi,hate_out_hhi,love_in_hhi,hate_in_hhi,liga_factor
1. FC Heidenheim,Heidenheim,2.615934912194404,4,11,15000,12600,Aalen – Heidenheim,51800,3.525,Baden-Württemberg,12.9342040278769,0,9.441452092939569,0.11111111111111104,0.4102079395085066,0.6022830979945784,0.6784362057994022,Bundesliga
1. FC Kaiserslautern,Kaiserslautern,2.6602595372658615,3,118,49327,37200,Kaiserslautern,36900,4.375,Rheinland-Pfalz,15.0904473394527,0,10.524064040261237,0.3627143904282517,0.17016005764695624,0.1833562064958176,0.21954323418874394,2nd
1. FC Köln,Köln,4.661550519424199,4,70,50000,150000,Köln II,41700,4.425,Nordrhein-Westfalen,5.63508046227254,0,11.918390573078392,0.32956489416593626,0.3483083668196729,0.07022197145253185,0.16373663594868876,Bundesliga
1. FC Lokomotive Leipzig,Leipzig,0.7323678937132266,1,125,15600,3119,Leipzig II,32000,5.45,Sachsen,17.7097266963742,1,8.045267716607803,0.4023323615160352,0.39541270406346957,0.2967505385824471,0.5038635771420913,Regional
1. FC Magdeburg,Magdeburg,1.8164520818184267,3,53,30098,15225,Magdeburg,27300,9.1,Sachsen-Anhalt,17.9257598206063,1,9.630694092578098,0.623769452709743,0.3144201183431954,0.2566742916729606,0.5401732687200048,2nd
1. FC Nürnberg,Nürnberg,2.9831534913471307,3,118,50000,37167,Nürnberg-Nord,44100,2.8,Bayern,10.943661971831,0,10.523176549783848,0.7647556433326024,0.3993408054259038,0.2831370603815549,0.3952000267369828,2nd
1. FC Saarbrücken,Saarbrücken,1.1474024528375417,2,115,16003,12000,Saarbrücken,35500,6.5,Saarland,10.5337496997358,0,9.392661928770137,0.12764003673094582,0.5240484429065746,0.23071619886208314,0.23922395317109638,3rd
1. FC Union Berlin,Berlin,3.091042453358316,4,52,22012,70111,Berlin-Treptow-Köpenick,39300,9.45,Berlin,18.8122484559601,1,11.157834979399821,0.2966881889377165,0.4552958800644792,0.04389019796922619,0.5563607802979084,Bundesliga
1. FSV Mainz 05,Mainz,4.3425058765115985,4,113,33305,27000,Mainz,36900,4.375,Rheinland-Pfalz,9.1901289419037,0,10.203592144986466,0.12525405742919893,0.34642024794406595,0.13580413879003037,0.18942781906368053,Bundesliga
Alemannia Aachen,Aachen,0.6151856390902335,2,118,31791,10760,Aachen I,41700,4.425,Nordrhein-Westfalen,7.02529699192455,0,9.283590833715776,0.06103131816124112,0.21077328890739983,0.5637443388111346,0.19940888288658995,3rd
BFC Dynamo,Berlin,0.3148107398400336,1,52,4500,2148,Berlin-Lichtenberg,39300,9.45,Berlin,18.5346192601123,1,7.672292455628756,0.15999999999999998,0.7346938775510203,0.119710267240202,0.32054667731631664,Regional
BSG Chemie Leipzig,Leipzig,-0.005012541823544286,1,21,4999,2500,Leipzig II,32000,5.45,Sachsen,17.7097266963742,1,7.824046010856292,0.410488888888889,0.4353317836936977,0.09865929131396892,0.9658725184859006,Regional
BV 09 Borussia Dortmund,Dortmund,6.037751581059295,4,109,81365,230000,Dortmund I,33900,5.675,Nordrhein-Westfalen,11.0012030477209,0,12.345834587905333,0.1451024811770298,0.45331406463114315,0.035555394050215884,0.16005638115628945,Bundesliga
