club,love_out_hhi,hate_out_hhi,love_in_hhi,hate_in_hhi
Karlsruher SC,0.6456904112597979,0.44029122511489827,0.5369979978169896,0.19607953191895047
Eintracht Frankfurt,0.10693214396797711,0.2845873283726277,0.14621091956375473,0.1825654467441601
Hamburger SV,0.17755159473826546,0.3976196675206059,0.11487877750714046,0.15166208423646138
Hertha BSC,0.5237675824691579,0.2655141832757797,0.36588129194562397,0.17513777735479835
SC Freiburg,0.22175181059174437,0.44121796763511,0.029929583598838072,0.30216313608720435
FC St. Pauli,0.08887839822863926,0.3302544783345435,0.02434594415697376,0.20194186380285992
FC Bayern München,0.1483983424213402,0.2978351720334781,0.0755146848828148,0.04318643250082272
VfL Borussia Mönchengladbach,0.08537115668751269,0.4354272225096521,0.06656641545688409,0.2372211189783394
SpVgg Greuther Fürth,0.10526315789473689,0.6173974687767144,0.17640080432474511,0.540603227678462
DSC Arminia Bielefeld,0.3301083714682509,0.320643867017948,0.21541500023699878,0.2890885849739913
Werder Bremen,0.15794437261824906,0.5031515266594918,0.06243192445662905,0.502335780801749
RasenBallsport Leipzig,0.11527992717341833,0.16777465027793917,0.12279890336850198,0.04883426444706882
Hannover 96,0.3209245669524691,0.5850398414875781,0.26245700784777504,0.4594212209915246
MSV Duisburg,0.3775956038016302,0.18356660770665706,0.2493990468881267,0.2541759131016273
VfB Stuttgart,0.09681619555475832,0.37415326556867706,0.28224924982601873,0.1871340647111741
SC Preußen Münster,0.07572879259310672,0.28430776861553747,0.5106373626774393,0.24754366619441873
Fortuna 95 Düsseldorf,0.2118250000000003,0.35251429861266176,0.10367234001517621,0.13184665831452502
FC Schalke 04,0.6739346701112526,0.5657588835685486,0.12872991724416719,0.12230381479898825
TSV 1860 München,0.35909589737870024,0.6643920760915368,0.1888646071725159,0.27898865219901475
1. FC Kaiserslautern,0.3627143904282517,0.17016005764695624,0.1833562064958176,0.21954323418874394
1. FC Köln,0.32956489416593626,0.3483083668196729,0.07022197145253185,0.16373663594868876
1. FC Union Berlin,0.2966881889377165,0.4552958800644792,0.04389019796922619,0.5563607802979084
